code_region;region;annee;code_indicateur;indicateur;code_type_uai;type_d_administration;code_sexe;sexe;code_type_pers;type_de_personnel;etat_des_donnees;valeur
94;Corse;2009;pers;Effectifs de R&D;2;EPST;2;Femmes;2;Soutien a  la recherche;definitif;38.87
98;Non ventile;2004;pers;Effectifs de R&D;2;EPST;2;Femmes;2;Soutien a  la recherche;definitif;17.5
99;a‰tranger;2010;pers;Effectifs de R&D;3;EPIC et assimiles;1;Hommes;1;Chercheurs;definitif;156.5
99;a‰tranger;2011;pers;Effectifs de R&D;3;EPIC et assimiles;1;Hommes;1;Chercheurs;definitif;168.8
99;a‰tranger;2013;pers;Effectifs de R&D;2;EPST;2;Femmes;1;Chercheurs;semi-definitif;100.01
73;Midi-Pyrenees;2003;pers;Effectifs de R&D;4;Autres administrations;3;Non ventile;2;Soutien a  la recherche;definitif;27.96
73;Midi-Pyrenees;2005;pers;Effectifs de R&D;1;Enseignement superieur;1;Hommes;2;Soutien a  la recherche;definitif;4.76
73;Midi-Pyrenees;2007;pers;Effectifs de R&D;4;Autres administrations;1;Hommes;2;Soutien a  la recherche;definitif;66.23
73;Midi-Pyrenees;2011;pers;Effectifs de R&D;2;EPST;1;Hommes;1;Chercheurs;definitif;1215.02
73;Midi-Pyrenees;2011;pers;Effectifs de R&D;3;EPIC et assimiles;2;Femmes;2;Soutien a  la recherche;definitif;236.74
73;Midi-Pyrenees;2013;pers;Effectifs de R&D;1;Enseignement superieur;1;Hommes;1;Chercheurs;semi-definitif;217.94
74;Limousin;2004;pers;Effectifs de R&D;2;EPST;1;Hommes;2;Soutien a  la recherche;definitif;6.0
74;Limousin;2005;pers;Effectifs de R&D;3;EPIC et assimiles;1;Hommes;2;Soutien a  la recherche;definitif;1.0
74;Limousin;2007;dird;Depense interieure de R&D;3;EPIC et assimiles;;;;;definitif;0.35000000000000003
74;Limousin;2008;dird;Depense interieure de R&D;2;EPST;;;;;definitif;3.59
74;Limousin;2009;dird;Depense interieure de R&D;3;EPIC et assimiles;;;;;definitif;0.03
74;Limousin;2013;pers;Effectifs de R&D;3;EPIC et assimiles;1;Hommes;1;Chercheurs;semi-definitif;7.4
82;Rhone-Alpes;2001;pers;Effectifs de R&D;1;Enseignement superieur;2;Femmes;1;Chercheurs;definitif;39.3
82;Rhone-Alpes;2004;pers;Effectifs de R&D;1;Enseignement superieur;1;Hommes;1;Chercheurs;definitif;178.1
82;Rhone-Alpes;2005;pers;Effectifs de R&D;1;Enseignement superieur;2;Femmes;1;Chercheurs;definitif;62.1
82;Rhone-Alpes;2006;dird;Depense interieure de R&D;2;EPST;;;;;definitif;456.18
82;Rhone-Alpes;2006;pers;Effectifs de R&D;1;Enseignement superieur;3;Non ventile;2;Soutien a  la recherche;definitif;2066.31
82;Rhone-Alpes;2006;pers;Effectifs de R&D;3;EPIC et assimiles;1;Hommes;2;Soutien a  la recherche;definitif;703.69
82;Rhone-Alpes;2006;pers;Effectifs de R&D;3;EPIC et assimiles;2;Femmes;1;Chercheurs;definitif;488.6
82;Rhone-Alpes;2008;pers;Effectifs de R&D;1;Enseignement superieur;3;Non ventile;2;Soutien a  la recherche;definitif;2167.27
82;Rhone-Alpes;2008;pers;Effectifs de R&D;3;EPIC et assimiles;1;Hommes;2;Soutien a  la recherche;definitif;685.75
82;Rhone-Alpes;2010;pers;Effectifs de R&D;1;Enseignement superieur;2;Femmes;1;Chercheurs;definitif;45.54
82;Rhone-Alpes;2011;dird;Depense interieure de R&D;4;Autres administrations;;;;;definitif;15.77
82;Rhone-Alpes;2011;pers;Effectifs de R&D;3;EPIC et assimiles;1;Hommes;2;Soutien a  la recherche;definitif;665.91
82;Rhone-Alpes;2013;pers;Effectifs de R&D;2;EPST;1;Hommes;2;Soutien a  la recherche;semi-definitif;1218.58
82;Rhone-Alpes;2013;pers;Effectifs de R&D;4;Autres administrations;1;Hommes;1;Chercheurs;semi-definitif;15.76
83;Auvergne;2002;pers;Effectifs de R&D;4;Autres administrations;1;Hommes;2;Soutien a  la recherche;definitif;5.6
83;Auvergne;2004;dird;Depense interieure de R&D;2;EPST;;;;;definitif;55.29
83;Auvergne;2004;dird;Depense interieure de R&D;4;Autres administrations;;;;;definitif;2.98
83;Auvergne;2005;pers;Effectifs de R&D;1;Enseignement superieur;1;Hommes;2;Soutien a  la recherche;definitif;5.2
83;Auvergne;2006;pers;Effectifs de R&D;1;Enseignement superieur;2;Femmes;1;Chercheurs;definitif;64.6
83;Auvergne;2007;pers;Effectifs de R&D;2;EPST;1;Hommes;1;Chercheurs;definitif;278.17
83;Auvergne;2007;pers;Effectifs de R&D;3;EPIC et assimiles;2;Femmes;1;Chercheurs;definitif;1.0
83;Auvergne;2007;pers;Effectifs de R&D;4;Autres administrations;3;Non ventile;2;Soutien a  la recherche;definitif;20.16
83;Auvergne;2008;pers;Effectifs de R&D;1;Enseignement superieur;1;Hommes;2;Soutien a  la recherche;definitif;5.37
83;Auvergne;2009;dird;Depense interieure de R&D;3;EPIC et assimiles;;;;;definitif;0.48
91;Languedoc-Roussillon;2001;dird;Depense interieure de R&D;4;Autres administrations;;;;;definitif;3.23
91;Languedoc-Roussillon;2002;pers;Effectifs de R&D;2;EPST;2;Femmes;2;Soutien a  la recherche;definitif;837.6
91;Languedoc-Roussillon;2005;pers;Effectifs de R&D;2;EPST;2;Femmes;1;Chercheurs;definitif;498.73
91;Languedoc-Roussillon;2006;pers;Effectifs de R&D;1;Enseignement superieur;1;Hommes;1;Chercheurs;definitif;320.0
42;Alsace;2011;dird;Depense interieure de R&D;1;Enseignement superieur;;;;;definitif;213.15
42;Alsace;2013;dird;Depense interieure de R&D;1;Enseignement superieur;;;;;semi-definitif;227.65
43;Franche-Comte;2001;pers;Effectifs de R&D;1;Enseignement superieur;3;Non ventile;2;Soutien a  la recherche;definitif;241.7
43;Franche-Comte;2003;dird;Depense interieure de R&D;4;Autres administrations;;;;;definitif;0.86
43;Franche-Comte;2003;pers;Effectifs de R&D;2;EPST;1;Hommes;1;Chercheurs;definitif;83.1
43;Franche-Comte;2003;pers;Effectifs de R&D;3;EPIC et assimiles;3;Non ventile;2;Soutien a  la recherche;definitif;0.9500000000000001
43;Franche-Comte;2004;pers;Effectifs de R&D;1;Enseignement superieur;3;Non ventile;2;Soutien a  la recherche;definitif;248.4
43;Franche-Comte;2005;dird;Depense interieure de R&D;4;Autres administrations;;;;;definitif;0.8300000000000001
43;Franche-Comte;2005;pers;Effectifs de R&D;2;EPST;1;Hommes;2;Soutien a  la recherche;definitif;37.8
43;Franche-Comte;2006;dird;Depense interieure de R&D;1;Enseignement superieur;;;;;definitif;62.5
43;Franche-Comte;2009;pers;Effectifs de R&D;3;EPIC et assimiles;1;Hommes;1;Chercheurs;definitif;2.0
43;Franche-Comte;2010;pers;Effectifs de R&D;2;EPST;1;Hommes;2;Soutien a  la recherche;definitif;45.3
43;Franche-Comte;2010;pers;Effectifs de R&D;2;EPST;2;Femmes;2;Soutien a  la recherche;definitif;42.9
43;Franche-Comte;2010;pers;Effectifs de R&D;3;EPIC et assimiles;1;Hommes;1;Chercheurs;definitif;3.0
43;Franche-Comte;2013;dird;Depense interieure de R&D;3;EPIC et assimiles;;;;;semi-definitif;0.0
43;Franche-Comte;2013;pers;Effectifs de R&D;2;EPST;2;Femmes;1;Chercheurs;semi-definitif;21.77
52;Pays de la Loire;2001;pers;Effectifs de R&D;3;EPIC et assimiles;1;Hommes;2;Soutien a  la recherche;definitif;69.4
52;Pays de la Loire;2002;dird;Depense interieure de R&D;1;Enseignement superieur;;;;;definitif;168.95
52;Pays de la Loire;2002;pers;Effectifs de R&D;4;Autres administrations;1;Hommes;2;Soutien a  la recherche;definitif;11.8
52;Pays de la Loire;2003;pers;Effectifs de R&D;3;EPIC et assimiles;1;Hommes;2;Soutien a  la recherche;definitif;62.83
52;Pays de la Loire;2004;pers;Effectifs de R&D;4;Autres administrations;3;Non ventile;1;Chercheurs;definitif;37.31
52;Pays de la Loire;2008;pers;Effectifs de R&D;1;Enseignement superieur;2;Femmes;2;Soutien a  la recherche;definitif;84.7
52;Pays de la Loire;2009;dird;Depense interieure de R&D;2;EPST;;;;;definitif;79.37
53;Bretagne;2003;pers;Effectifs de R&D;3;EPIC et assimiles;2;Femmes;1;Chercheurs;definitif;97.1
53;Bretagne;2011;dird;Depense interieure de R&D;4;Autres administrations;;;;;definitif;4.36
53;Bretagne;2012;dird;Depense interieure de R&D;4;Autres administrations;;;;;definitif;9.95
53;Bretagne;2012;pers;Effectifs de R&D;3;EPIC et assimiles;2;Femmes;2;Soutien a  la recherche;definitif;164.98
53;Bretagne;2013;pers;Effectifs de R&D;3;EPIC et assimiles;1;Hommes;1;Chercheurs;semi-definitif;272.7
53;Bretagne;2013;pers;Effectifs de R&D;3;EPIC et assimiles;2;Femmes;1;Chercheurs;semi-definitif;138.87
54;Poitou-Charentes;2001;pers;Effectifs de R&D;3;EPIC et assimiles;3;Non ventile;1;Chercheurs;definitif;2.2
54;Poitou-Charentes;2002;pers;Effectifs de R&D;3;EPIC et assimiles;2;Femmes;2;Soutien a  la recherche;definitif;28.71
54;Poitou-Charentes;2004;pers;Effectifs de R&D;1;Enseignement superieur;3;Non ventile;2;Soutien a  la recherche;definitif;340.4
72;Aquitaine;2006;pers;Effectifs de R&D;4;Autres administrations;1;Hommes;1;Chercheurs;definitif;2.9
72;Aquitaine;2011;pers;Effectifs de R&D;2;EPST;1;Hommes;1;Chercheurs;definitif;894.81
72;Aquitaine;2012;dird;Depense interieure de R&D;3;EPIC et assimiles;;;;;definitif;1.0
73;Midi-Pyrenees;2001;pers;Effectifs de R&D;3;EPIC et assimiles;2;Femmes;2;Soutien a  la recherche;definitif;298.2
25;Basse-Normandie;2011;dird;Depense interieure de R&D;1;Enseignement superieur;;;;;definitif;93.4
25;Basse-Normandie;2012;dird;Depense interieure de R&D;4;Autres administrations;;;;;definitif;0.1
26;Bourgogne;2001;pers;Effectifs de R&D;3;EPIC et assimiles;1;Hommes;2;Soutien a  la recherche;definitif;19.0
26;Bourgogne;2004;pers;Effectifs de R&D;4;Autres administrations;1;Hommes;2;Soutien a  la recherche;definitif;6.0
26;Bourgogne;2007;pers;Effectifs de R&D;3;EPIC et assimiles;1;Hommes;1;Chercheurs;definitif;2.0
26;Bourgogne;2009;dird;Depense interieure de R&D;1;Enseignement superieur;;;;;definitif;100.57
26;Bourgogne;2009;pers;Effectifs de R&D;1;Enseignement superieur;3;Non ventile;2;Soutien a  la recherche;definitif;424.66
26;Bourgogne;2010;pers;Effectifs de R&D;1;Enseignement superieur;3;Non ventile;1;Chercheurs;definitif;766.18
26;Bourgogne;2013;pers;Effectifs de R&D;2;EPST;2;Femmes;1;Chercheurs;semi-definitif;100.36
31;Nord-Pas-de-Calais;2001;pers;Effectifs de R&D;1;Enseignement superieur;3;Non ventile;1;Chercheurs;definitif;2363.1
31;Nord-Pas-de-Calais;2005;pers;Effectifs de R&D;2;EPST;2;Femmes;1;Chercheurs;definitif;168.4
31;Nord-Pas-de-Calais;2005;pers;Effectifs de R&D;4;Autres administrations;2;Femmes;1;Chercheurs;definitif;1.0
31;Nord-Pas-de-Calais;2007;pers;Effectifs de R&D;4;Autres administrations;3;Non ventile;2;Soutien a  la recherche;definitif;15.65
31;Nord-Pas-de-Calais;2010;pers;Effectifs de R&D;1;Enseignement superieur;2;Femmes;2;Soutien a  la recherche;definitif;6.08
31;Nord-Pas-de-Calais;2012;dird;Depense interieure de R&D;2;EPST;;;;;definitif;146.23
31;Nord-Pas-de-Calais;2012;pers;Effectifs de R&D;1;Enseignement superieur;2;Femmes;1;Chercheurs;definitif;30.72
31;Nord-Pas-de-Calais;2012;pers;Effectifs de R&D;2;EPST;1;Hommes;1;Chercheurs;definitif;491.85
41;Lorraine;2001;pers;Effectifs de R&D;4;Autres administrations;3;Non ventile;1;Chercheurs;definitif;56.3
41;Lorraine;2003;pers;Effectifs de R&D;3;EPIC et assimiles;3;Non ventile;2;Soutien a  la recherche;definitif;0.9500000000000001
41;Lorraine;2004;pers;Effectifs de R&D;3;EPIC et assimiles;3;Non ventile;2;Soutien a  la recherche;definitif;0.9500000000000001
41;Lorraine;2004;pers;Effectifs de R&D;4;Autres administrations;2;Femmes;2;Soutien a  la recherche;definitif;51.1
41;Lorraine;2006;pers;Effectifs de R&D;2;EPST;2;Femmes;2;Soutien a  la recherche;definitif;441.05
41;Lorraine;2006;pers;Effectifs de R&D;3;EPIC et assimiles;1;Hommes;2;Soutien a  la recherche;definitif;7.1
41;Lorraine;2009;dird;Depense interieure de R&D;2;EPST;;;;;definitif;144.17
41;Lorraine;2010;pers;Effectifs de R&D;4;Autres administrations;2;Femmes;1;Chercheurs;definitif;0.30000000000000004
42;Alsace;2003;pers;Effectifs de R&D;1;Enseignement superieur;3;Non ventile;2;Soutien a  la recherche;definitif;571.49
42;Alsace;2003;pers;Effectifs de R&D;2;EPST;2;Femmes;1;Chercheurs;definitif;311.2
42;Alsace;2003;pers;Effectifs de R&D;3;EPIC et assimiles;2;Femmes;1;Chercheurs;definitif;7.0
42;Alsace;2006;dird;Depense interieure de R&D;2;EPST;;;;;definitif;173.79
42;Alsace;2006;pers;Effectifs de R&D;3;EPIC et assimiles;1;Hommes;1;Chercheurs;definitif;2.9
24;Centre;2004;pers;Effectifs de R&D;1;Enseignement superieur;3;Non ventile;1;Chercheurs;definitif;1040.8
24;Centre;2005;dird;Depense interieure de R&D;2;EPST;;;;;definitif;85.69
24;Centre;2005;pers;Effectifs de R&D;3;EPIC et assimiles;3;Non ventile;2;Soutien a  la recherche;definitif;0.9500000000000001
25;Basse-Normandie;2002;pers;Effectifs de R&D;3;EPIC et assimiles;1;Hommes;1;Chercheurs;definitif;73.0
25;Basse-Normandie;2009;pers;Effectifs de R&D;3;EPIC et assimiles;1;Hommes;1;Chercheurs;definitif;85.0
21;Champagne-Ardenne;2009;pers;Effectifs de R&D;2;EPST;1;Hommes;2;Soutien a  la recherche;definitif;24.37
21;Champagne-Ardenne;2009;pers;Effectifs de R&D;2;EPST;2;Femmes;1;Chercheurs;definitif;14.7
21;Champagne-Ardenne;2011;pers;Effectifs de R&D;2;EPST;2;Femmes;2;Soutien a  la recherche;definitif;18.35
21;Champagne-Ardenne;2012;pers;Effectifs de R&D;3;EPIC et assimiles;1;Hommes;2;Soutien a  la recherche;definitif;2.0
22;Picardie;2002;pers;Effectifs de R&D;3;EPIC et assimiles;2;Femmes;2;Soutien a  la recherche;definitif;9.5
22;Picardie;2005;dird;Depense interieure de R&D;2;EPST;;;;;definitif;7.38
22;Picardie;2005;pers;Effectifs de R&D;2;EPST;2;Femmes;1;Chercheurs;definitif;23.6
22;Picardie;2006;pers;Effectifs de R&D;4;Autres administrations;3;Non ventile;1;Chercheurs;definitif;12.0
22;Picardie;2007;pers;Effectifs de R&D;2;EPST;2;Femmes;2;Soutien a  la recherche;definitif;38.08
22;Picardie;2011;pers;Effectifs de R&D;1;Enseignement superieur;1;Hommes;2;Soutien a  la recherche;definitif;4.5
22;Picardie;2011;pers;Effectifs de R&D;2;EPST;2;Femmes;1;Chercheurs;definitif;31.01
22;Picardie;2012;pers;Effectifs de R&D;1;Enseignement superieur;1;Hommes;1;Chercheurs;definitif;67.6
22;Picardie;2012;pers;Effectifs de R&D;1;Enseignement superieur;3;Non ventile;2;Soutien a  la recherche;definitif;280.07
22;Picardie;2013;pers;Effectifs de R&D;2;EPST;1;Hommes;2;Soutien a  la recherche;semi-definitif;37.59
7;Regions d'outre-mer;2012;dird;Depense interieure de R&D;2;EPST;;;;;definitif;42.73
7;Regions d'outre-mer;2013;pers;Effectifs de R&D;1;Enseignement superieur;2;Femmes;2;Soutien a  la recherche;semi-definitif;1.56
11;Ile-de-France;2005;pers;Effectifs de R&D;1;Enseignement superieur;2;Femmes;2;Soutien a  la recherche;definitif;110.22
11;Ile-de-France;2007;pers;Effectifs de R&D;4;Autres administrations;1;Hommes;1;Chercheurs;definitif;658.6
11;Ile-de-France;2008;pers;Effectifs de R&D;1;Enseignement superieur;1;Hommes;2;Soutien a  la recherche;definitif;215.2
11;Ile-de-France;2009;pers;Effectifs de R&D;3;EPIC et assimiles;2;Femmes;2;Soutien a  la recherche;definitif;1540.75
11;Ile-de-France;2009;pers;Effectifs de R&D;4;Autres administrations;1;Hommes;2;Soutien a  la recherche;definitif;538.03
11;Ile-de-France;2010;pers;Effectifs de R&D;2;EPST;2;Femmes;2;Soutien a  la recherche;definitif;6188.11
11;Ile-de-France;2011;dird;Depense interieure de R&D;3;EPIC et assimiles;;;;;definitif;1295.36
21;Champagne-Ardenne;2002;pers;Effectifs de R&D;1;Enseignement superieur;3;Non ventile;1;Chercheurs;definitif;599.39
21;Champagne-Ardenne;2004;pers;Effectifs de R&D;2;EPST;1;Hommes;1;Chercheurs;definitif;32.5
21;Champagne-Ardenne;2007;pers;Effectifs de R&D;4;Autres administrations;2;Femmes;2;Soutien a  la recherche;definitif;2.98
21;Champagne-Ardenne;2008;pers;Effectifs de R&D;3;EPIC et assimiles;3;Non ventile;2;Soutien a  la recherche;definitif;0.9500000000000001
23;Haute-Normandie;2002;pers;Effectifs de R&D;2;EPST;1;Hommes;1;Chercheurs;definitif;72.0
23;Haute-Normandie;2002;pers;Effectifs de R&D;3;EPIC et assimiles;3;Non ventile;2;Soutien a  la recherche;definitif;1.3900000000000001
23;Haute-Normandie;2008;pers;Effectifs de R&D;3;EPIC et assimiles;1;Hommes;1;Chercheurs;definitif;4.0
23;Haute-Normandie;2010;pers;Effectifs de R&D;2;EPST;1;Hommes;2;Soutien a  la recherche;definitif;32.0
24;Centre;2001;pers;Effectifs de R&D;4;Autres administrations;2;Femmes;1;Chercheurs;definitif;1.0
24;Centre;2004;pers;Effectifs de R&D;3;EPIC et assimiles;1;Hommes;2;Soutien a  la recherche;definitif;41.0
24;Centre;2005;pers;Effectifs de R&D;2;EPST;2;Femmes;1;Chercheurs;definitif;234.37
24;Centre;2008;pers;Effectifs de R&D;1;Enseignement superieur;2;Femmes;1;Chercheurs;definitif;70.0
24;Centre;2008;pers;Effectifs de R&D;4;Autres administrations;2;Femmes;2;Soutien a  la recherche;definitif;10.95
24;Centre;2011;pers;Effectifs de R&D;2;EPST;2;Femmes;2;Soutien a  la recherche;definitif;476.83
24;Centre;2013;pers;Effectifs de R&D;4;Autres administrations;1;Hommes;2;Soutien a  la recherche;semi-definitif;10.02
25;Basse-Normandie;2001;pers;Effectifs de R&D;2;EPST;2;Femmes;2;Soutien a  la recherche;definitif;97.1
25;Basse-Normandie;2001;pers;Effectifs de R&D;3;EPIC et assimiles;2;Femmes;1;Chercheurs;definitif;14.0
25;Basse-Normandie;2002;dird;Depense interieure de R&D;2;EPST;;;;;definitif;15.14
25;Basse-Normandie;2006;dird;Depense interieure de R&D;1;Enseignement superieur;;;;;definitif;76.29
25;Basse-Normandie;2006;dird;Depense interieure de R&D;3;EPIC et assimiles;;;;;definitif;17.62
25;Basse-Normandie;2008;pers;Effectifs de R&D;1;Enseignement superieur;3;Non ventile;1;Chercheurs;definitif;609.9
1;Guadeloupe;2010;dird;Depense interieure de R&D;1;Enseignement superieur;;;;;definitif;1.82
1;Guadeloupe;2012;pers;Effectifs de R&D;2;EPST;1;Hommes;2;Soutien a  la recherche;definitif;97.3
2;Martinique;2010;pers;Effectifs de R&D;2;EPST;2;Femmes;1;Chercheurs;definitif;2.0
2;Martinique;2013;pers;Effectifs de R&D;3;EPIC et assimiles;2;Femmes;2;Soutien a  la recherche;semi-definitif;21.71
3;Guyane;2010;dird;Depense interieure de R&D;1;Enseignement superieur;;;;;definitif;0.21
3;Guyane;2011;dird;Depense interieure de R&D;2;EPST;;;;;definitif;6.25
3;Guyane;2011;pers;Effectifs de R&D;1;Enseignement superieur;1;Hommes;2;Soutien a  la recherche;definitif;2.4
3;Guyane;2011;pers;Effectifs de R&D;4;Autres administrations;2;Femmes;1;Chercheurs;definitif;3.0
3;Guyane;2012;pers;Effectifs de R&D;2;EPST;1;Hommes;1;Chercheurs;definitif;21.75
3;Guyane;2013;dird;Depense interieure de R&D;1;Enseignement superieur;;;;;semi-definitif;28.03
3;Guyane;2013;pers;Effectifs de R&D;3;EPIC et assimiles;2;Femmes;2;Soutien a  la recherche;semi-definitif;57.23
4;La Reunion;2011;pers;Effectifs de R&D;2;EPST;1;Hommes;2;Soutien a  la recherche;definitif;13.05
4;La Reunion;2011;pers;Effectifs de R&D;3;EPIC et assimiles;2;Femmes;2;Soutien a  la recherche;definitif;34.05
4;La Reunion;2012;pers;Effectifs de R&D;3;EPIC et assimiles;1;Hommes;1;Chercheurs;definitif;67.6
4;La Reunion;2012;pers;Effectifs de R&D;4;Autres administrations;1;Hommes;1;Chercheurs;definitif;3.96
6;Mayotte;2012;pers;Effectifs de R&D;3;EPIC et assimiles;1;Hommes;2;Soutien a  la recherche;definitif;1.0
7;Regions d'outre-mer;2001;pers;Effectifs de R&D;3;EPIC et assimiles;2;Femmes;1;Chercheurs;definitif;67.99
7;Regions d'outre-mer;2002;pers;Effectifs de R&D;3;EPIC et assimiles;1;Hommes;2;Soutien a  la recherche;definitif;383.63
7;Regions d'outre-mer;2004;pers;Effectifs de R&D;3;EPIC et assimiles;2;Femmes;1;Chercheurs;definitif;79.22
7;Regions d'outre-mer;2006;pers;Effectifs de R&D;1;Enseignement superieur;1;Hommes;1;Chercheurs;definitif;13.0
7;Regions d'outre-mer;2006;pers;Effectifs de R&D;2;EPST;2;Femmes;1;Chercheurs;definitif;31.0
7;Regions d'outre-mer;2007;pers;Effectifs de R&D;1;Enseignement superieur;2;Femmes;1;Chercheurs;definitif;24.0
7;Regions d'outre-mer;2011;pers;Effectifs de R&D;2;EPST;1;Hommes;2;Soutien a  la recherche;definitif;223.23
21;Champagne-Ardenne;2010;pers;Effectifs de R&D;2;EPST;1;Hommes;2;Soutien a  la recherche;definitif;23.6
22;Picardie;2001;dird;Depense interieure de R&D;4;Autres administrations;;;;;definitif;1.4100000000000001
22;Picardie;2002;dird;Depense interieure de R&D;3;EPIC et assimiles;;;;;definitif;3.98
22;Picardie;2010;pers;Effectifs de R&D;1;Enseignement superieur;2;Femmes;1;Chercheurs;definitif;27.14
22;Picardie;2011;pers;Effectifs de R&D;3;EPIC et assimiles;2;Femmes;2;Soutien a  la recherche;definitif;22.2
